city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	extracted_location_name	extracted_latitude	extracted_longitude
Allegan	United States	there have been notes of white dogs chasing cars that pull into the drive way. People have seen people hanging form trees and working in fields in old clothing. This motel is where Al Capone did some of his work and had meetings in a secret place in the tunnels. The motel was once painted blue but the next day it was back to yellow. - March 2007 update: was torn down and a tennis court was built over it.	The Yellow Motel	Michigan	MI	-85.8744224	42.5341643	-85.8553031	42.5291989	The Yellow Motel	42.5341643	-85.8744224
Alma	United States	"Gamma Phi Beta House - Sisters that live in the ""pink"" room awoke one night to see a ghostly figure pacing back and forth between the closet door and the bedroom door. The sisters that stay in that room immediately started screaming, and the president came out of her room, opened the door and the ghost went past her. When she returned to her room everything that was hanging on the walls had fallen to the ground. Also, there are always strange things happening at the house. Things turn up missing or are moved. Strange noises can be heard throughout the night. Doors are always slamming, lights go dim, and many other strange things happen. The ""hauntings"" started shortly after the sisters of gamma phi beta remodeled the house...it's almost like it upset the ghost(s)."	Alma College	Michigan	MI	-84.669939	43.379011	-84.6597274	43.3789199	Alma College	43.379011	-84.669939
Alpena	United States	A few witnesses heard footsteps and saw heads in the windows before they were boarded up. next to the long lake chapel.	old radio tavern	Michigan	MI	-83.433713	45.0629087	-83.4327528	45.0616794	old radio tavern	45.0629087	-83.433713
Ann Arbor	United States	Story goes some time in the late 70s a student named Mary (last name never mentioned) who, while working on some lighting fixtures alone one day, fell from the catwalks head first and died upon the stage. Sightings include actors and stagehands seeing a girl up in the catwalks wearing a light pink dress. Also, in the prop room where all the senior thespians spray paint their names on the wall shortly after Mary's death her name appeared in bold red paint above the doorway about seventeen feet from the floor and upside down.	Huron High School theatre.	Michigan	MI	-83.70264300000001	42.2813889	-83.7430378	42.2808256	Huron High School theatre.	42.2813889	-83.70264300000001
Ann Arbor	United States	Mercywood was a mental hospital before closing down. security guards heard the elevators moving when the building was empty. Sounds would come from the boiler room. In the basement were personal belongings of the inmates. There was also a bowling alley and bumper pool tables in the basement. There were insane rambling written on the walls in some of the rooms. Behind the hospital there was a convent where the nuns lived that worked in the hospital and even to go in there was a very uneasy feeling. It is like you can feel the insanity that surrounded the place. Also an evil feeling. They have since torn down the old hospital but something has been built there recently. It is on Jackson Ave. in Ann Arbor a little way down from the cemetery next to I-94 on the right side if you are going west.	Mercywood Hospital	Michigan	MI	-83.6541587	42.2648802	-83.7430378	42.2808256	Parish of Saint Ann	18.35	-77.26667
Assininns	United States	Before the building was turned into a Tribal Center, it used to be a Catholic Orphanage. People have sighted apparitions of little kids, nuns and priests, and have also had encounters with objects dropping or moving, and other various sounds through out the building. This entire piece of land still has a church that's active, and other inactive buildings that date back to the early 1800's.	the old tribal center/orphanage	Michigan	MI			-88.4773517	46.81020950000001			
Atlanta	United States	The old cabin located on Camp 8 road is haunted by three young ghosts all sisters died during the flu epidemic in the upstairs bedroom. Reports of crying and screaming have been herd throughout the house. And pictures taken by visitors have shown more than just the three ghosts. Young children, orbs and a demon have also shown up in this film. - March 2008 Update: This is private property. No Trespassing.	Camp 8 Cabin	Michigan	MI	-84.2878159	44.84782939999999	-84.1438927	45.00473059999999	Kanton Basel-Landschaft	47.50438	7.70444
Augusta	United States	Hotel now owned by Michigan State University.  Originally the Upjohn Family (of Upjohn Pharmaceauticals - since bought by Pharmacia and later Pfizer) summer residence.  Dr. Upjohn died in the Doctor's Cottage - a beautiful, upscale large cottage on the edge of the creek, surrounded by his japanese garden. Guests in staying in the cottage have told staff they hear footsteps and no one is there.  It's not uncommon for guests staying in the Doctor's Cottage to go to the front desk during the night to request to be moved to another room due to the strange noises and feelings of uneasiness. Hotel staff have said they hear the piano playing when alone in the Doctor's cottage, closing up after events- and yet they are the only people there. Guests staying in the carriage house have reported hearing piano music during the night - but the only piano currently on property is too far away to be heard there.	Brook Lodge Hotel	Michigan	MI			-85.35222189999999	42.3364294			
Battle Creek	United States	"Reports of strange occurrences happened only in the East side building, usually in apartments 1-4, and 8. Closet doors would open, even when closed securely and if the closet door was closed, you can sometimes hear the coat hangers (even if immobilized in some way)tap against each other, despite the total lack of breezes or heat updrafts. Other strange happenings included: Heavy footsteps and yelling in vacant upper apartments, the feeling of an unpleasant presence, cold spots (in only one upper apartment), the feeling of being ""touched"" or ""groped"", knocking on doors, dishes being broken and pans thrown (but still intact and unmoved when you check them) and flickering lights. The buildings are about 100 years old, but no one has made any connections of deaths or tragedies to these ""hauntings""."	Court Apartments (formally Webster Apartments)	Michigan	MI	-85.1780687	42.2979251	-85.17971419999999	42.3211522	The Other Palace	51.49889	-0.14216
Battle Creek	United States	when people drive by sometimes they see a white ball run across the into a marble headstone.	Penfield cemetery	Michigan	MI	-85.17774469999999	42.3062055	-85.17971419999999	42.3211522	Penfield cemetery	42.3062055	-85.17774469999999
Bay City	United States	Reports of apparitions and footsteps heard in there and found nobody in the building.	Delta College	Michigan	MI	-83.98600359999999	43.5579516	-83.8888647	43.5944677	Bay of Plenty	-38.1648	176.91284
Bay City	United States	white objects seen entering plant, very creepy feeling, some people who have went inside have came out frightened	old water treatment plant	Michigan	MI	-83.8741012	43.6258078	-83.8888647	43.5944677	Bay of Plenty	-38.1648	176.91284
Bay City	United States	The legend of the Bloody Hand. For years there has been talk of the appearance of a bloody hand in the church sacristy and in the church basement as well.	Our Lady of the Visitation Church	Michigan	MI	-83.8945444	43.616625	-83.8888647	43.5944677	Our Lady of the Visitation Church	43.616625	-83.8945444
Bellaire	United States	The Richardi House (now known as The Grand Victorian Bed & Breakfast) is rumored to be haunted by Henri Richardi. Richardi built the house for his intended bride. When she left him for another man, he was heartbroken. Strange lights were seen in the cupola when the house was uninhabited (before being turned into a Bed & Breakfast).	Richardi House	Michigan	MI	-85.209954	44.980443	-85.2111728	44.9802822	Richardi House	44.980443	-85.209954
Dearborn	United States	The old Rouge Power House blew up in 2001 and several people died that day. If you park on Miller road late at night in front of this building you can hear vicious screams of the people thrown onto the street from the blast.	Ford Rouge Plant	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599	Ford Rouge Plant	42.303109	-83.233109
Dearborn	United States	The overpass bridge also has haunting facts from the day Walter Reuther was beaten up by Harry Bennett's thugs. It is said that people who use this bridge late at night get an eerie feeling of being pushed from behind and a strange voice yells at them.	Ford Rouge Plant – Overpass Bridge	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599	Ford Rouge Plant – Overpass Bridge	42.303109	-83.233109
Dearborn	United States	Cold spots felt. One of the most recent encounters was in one of the seventh grade classrooms. The teacher left the room to copy some papers. Right after he left, the door connecting to of the rooms together flew open. When some of the students checked, no one could've gotten into that room. They sat back down, and again, the door moved a little. Right after, the students heard faint whispering.	O.L. Smith Middle School	Michigan	MI	-83.2683124	42.2879006	-83.17631449999999	42.3222599	O.L. Smith Middle School	42.2879006	-83.2683124
Belding	United States	In the Children's section, downs stairs, sometimes you hear a small girl laughing when you are there alone. Books fall off the selves and you feel like there is someone in the room who wants you to go away even thought there is no one there.	Belding Library	Michigan	MI	-85.2268185	43.09784639999999	-85.228906	43.0978094	Belding Library	43.09784639999999	-85.2268185
Belleville	United States	Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.	94 &amp; Denton Rd.	Michigan	MI	-94.819713	45.66820509999999	-83.4852133	42.2047619	94 &amp; Denton Rd.	45.66820509999999	-94.819713
Belleville	United States	Denton Rd. - There's an overall bad feeling in this cemetery. If you take a camera (preferably digital) and take pictures, you'll see orbs everywhere. There's a specific large, greenish orb that shows up in photographs quite a bit.	Cemetery off S. Service Drive	Michigan	MI	-83.522807	42.2167069	-83.4852133	42.2047619	Les Belleville	45.38028	6.50444
Belleville	United States	When the street is dark and no one is around you can put your car in park and turn you head-lights on get out of your car and stand in front of the car and you can see another car come towards you and drive right through you and your car and then disappear in seconds.	Robson Rd	Michigan	MI	-83.47570929999999	42.2414323	-83.4852133	42.2047619	Robson Rd	42.2414323	-83.47570929999999
Belleville	United States	ghosts dressed in white can be seen walking through the cemetery. It always vanishes into the tallest grave there. The ghost(s) follows vehicles that drive in there at night.	Tyler Rd. Cemetery	Michigan	MI	-83.4298354	42.2373832	-83.4852133	42.2047619	Tyler Rd. Cemetery	42.2373832	-83.4298354
Berville	United States	An abandoned farm house located 2 miles north of Berville where a very ill 12 year old boy had died in his sleep. Drive past this house at around 1 A.M. when it is said the boy died and you may catch a glimpse of lights flickering in the windows. Inside you can hear a faint whispering, footsteps upstairs, and things will move in the house including doors being opened that were closed. enter the boys bedroom at the end of the upstairs hall and experience an overwhelming cold chill and sudden sad emotions at times.	Berville Rd.	Michigan	MI	-82.88573939999999	42.9232364	-82.8829846	42.9083621	Berville Rd.	42.9232364	-82.88573939999999
Big Rapids	United States	Reports of a woman crying for help, cold chills, weird noises and intense feelings when exploring the basement, which was once opened to tunnels that ran underneath the entire town but have since been filled in.	Big Rapids Cinema	Michigan	MI	-85.4815053	43.6964729	-85.4836557	43.6980782	Big Rapids	43.69808	-85.48366
Big Rapids	United States	Voices are heard often.  Shadows of people walking. The sound of high heels down the hallway in the back.  A woman in dark clothing wearing white nylons and black heels.  Things have been reported to fall for no reason.	Ponderosa	Michigan	MI	-85.3960578	44.2451965	-85.4836557	43.6980782	Ponderosa	35.66003	-106.66753
Big Rapids	United States	"The apartments are very close to Ferris State University and have many students staying there.  Residents have heard a young lady or small child clearly say ""Hi"" behind them in the apartment. When they all turned to look no one was there."	Rapids Apartments	Michigan	MI	-85.4856063	43.6901794	-85.4836557	43.6980782	Rapids Apartments	43.6901794	-85.4856063
Birmingham	United States	House built in 1920. Originally inhabited by Margaret parks who owned Parks Cole Company in downtown Birmingham around the same period. Countless paranormal experiences in the home. For example: lights turning on and off by themselves, curtains opening as if someone where looking out{nobody being home that is). , cold spots , ghostly apparitions both male and female, items vanishing and reappearing ( items of small size ), a strand of bells ringing in early morning hours. This is only to name a few. Also witnessed by many people. Home at a later date became the Michigan metaphysical society.	Adams house	Michigan	MI	-83.205793	42.541766	-83.21131919999999	42.5467012	Birmingham	52.48142	-1.89983
Bloomfield	United States	A side street north of 16 mile on Woodward holds a very creepy place called Trowbridge. It is a very rich area an local kids that were depressed would jump off the bridge which was a 100 ft. drop to there death, one instance on a Sunday from 8p.m until 12 midnight every half hour on the hour a kid would commit suicide until midnight when the train came an dismembered there corpses. The kids would spray paint there names or something to be remembered by on the wall. It is on a street called Trowbridge, very creepy street with huge houses take it down half a mile an on the left hand side before the street ends is the bridge. Go at your own risk because the place has been known to have many freaky occurrences an not to mention a monks monastery about a mile down the road. - October 2003 Update: The Police DO issue trespassing tickets for $250.00 because the train bridge and tracks are federal property and by being on it you are trespassing on federal property. - February 2004 Update: Police patrol there quite frequently and the neighbor across the street won't hesitate to call them.	Trowbridge Road	Michigan	MI	-83.2342207	42.5778303	-83.2827093	42.5793103	Town of Bloomfield	41.84258	-72.74062
Bloomfield	United States	"Sacred Heart Academy - There is a statue of Mary with her hands raised in the air.. (You can see it as you drive by, its in the front yard.) The urban legend goes that there were 2 young boys playing by the statue. They were supposed to come home when the streetlights come on but never did. The parents started looking for them and found a bloody message on the base of this statue that said ""Don't let your kids play after dark"". With the fingers of the statue cut off and blood coming out. If you go there today you'll see the fingers cut off and the eyes gouged out.- August 2005 Update: This is believed to be a hoax. a visitor to our site reports the hands of the statue are intact."	Trowbridge Road	Michigan	MI	-83.2342207	42.5778303	-83.2827093	42.5793103	Town of Bloomfield	41.84258	-72.74062
Borculo	United States	What used to be an old, one-room schoolhouse, is now said to inhibit guests from the paranormal realm. It is said a former teacher, by the name of Ms. Van moss, would abuse the children so badly that one day after a playground mishap, Vanmoss struck a child so hard in the head that the child died immediately. Today, the schoolhouse is a well know restaurant, but the customers report seeing a small child sitting solemnly alone at a booth in the corner. There have also been reports of silver wear being randomly thrown across the room.	The Old School House	Michigan	MI	-86.013767	42.885003	-86.0211532	42.8850235	The Old School House	42.885003	-86.013767
Breckenridge	United States	Used to be the elementary school but in 1994 they built a new one and now it is a school for mental teenagers, and a place for events. It was said A few years after the school was built(1936)there was a little space in the wall that they boarded up, and some kid unbounded it and shoved another kid in there then boarded it back up, The kid died in the hole and a while later they found him, Now if you go in there by yourself the lockers open and close by themselves and you can here kids laughing, sometimes the toilets flush by themselves and the sinks turn on and off by themselves.	AIM School	Michigan	MI	-84.47591539999999	43.4146517	-84.4749978	43.4080849	AIM School	43.4146517	-84.47591539999999
Bridgeport	United States	there is said to be in the first years the school was built the principal was accidentally killed by a teacher....Now all the teachers that have problems with the principal face in school injuries like falling and breaking bones.	Bridgeport High School	Michigan	MI	-83.8698136	43.3553067	-83.88163639999999	43.3594696	Bridgeport High School	43.3553067	-83.8698136
Bridgeport	United States	"There had been said to be seen a little girl wondering the cemetery saying, ""Help me”. Seen by a young teenager."	Cole Rd. Cemetery	Michigan	MI	-83.063823	42.516651	-83.88163639999999	43.3594696	Cole Rd. Cemetery	42.516651	-83.063823
Brighton	United States	before the death sentence was revoked in Michigan hundreds of inmates died in the prison. Rumors of ghost hitchhikers are known to be on the road leading to the prison. These are the souls of inmates executed while attempting escape.	Brighton Women's correctional institute	Michigan	MI	-83.6954277	42.5191232	-83.7802214	42.5294773	Michigan	44.25029	-85.50033
Brimley	United States	Point Iroquois Lighthouse, outside of Brimley is said to be haunted, there is a story about a ghost girl who was eaten by a bear, the bear was later killed and parts of the girl where discovered inside. The site is also the location of an Indian battle, which took place in the 1600's, where the Ojibwe and Iroquois had a battle, and the Iroquois's where slaughtered. The lighthouse has had cold spots and figures have been seen.	Point Iroquois Lighthouse	Michigan	MI	-84.6321703	46.484246	-84.6920059	46.3740542	Point Iroquois Lighthouse	46.484246	-84.6321703
Brooklyn	United States	in the house its said that there are noises that can be heard in a closet and the attic. And it is said that a man killed 3 people in the house and then himself. And so now the man is looking all over the house for the 3 people so he can kill them again.	Clarklake	Michigan	MI	-84.2482819	42.105874	-84.2482819	42.105874	Clarklake	42.105874	-84.2482819
Brownstown	United States	Back in the early 90's there was a rumor heard of a man with a ax walking around in the woods and every time a kid from the neighborhood walked into the woods they would see him for a split second but then the face disappeared it was said that someone actually got it on video tape but now you only see it during a full moon you can see an extra shadow walking besides you with a man and a axe.	Dawnshire Park	Michigan	MI	-83.220996	42.1663269	-83.2572332	42.1261157	Dawnshire Park	42.1663269	-83.220996
Brownstown	United States	Rumors of a little boy and a tall man are said to haunt oak ridge anytime from about 9:00pm to 3:00 am.	Oak ridge cemetery on Telegraph	Michigan	MI	-83.269511	42.131493	-83.2572332	42.1261157	Brownstown	40.12371	-76.21384
Brownstown	United States	there are hauntings all threw out the park. Apparitions of people walking up and down the streets late hours of the night.	Tela Valley	Michigan	MI	-83.2619069	42.177167	-83.2572332	42.1261157	Tela Valley	42.177167	-83.2619069
Burton	United States	ticking clocks that are not there. Things will turn on by them self.	Naturally You	Michigan	MI			-83.6163423	42.99947179999999			
Byron	United States	There was a man named Nick Bradon that lived and built the house, he was plowing the field when he fell of the tractor and got ran over with the blades of the plow. There are reports of lights that go on and off, rocking chairs that rock on their own, foot steps, and there have been reports if people sleeping in the upstairs rooms have seen figure of people watching over them.	McGuire's House	Michigan	MI			-83.9444027	42.8228091			
Calumet	United States	As you go in the old place back in 1903 a man was murdered but all sorts of orbs were seen and sightings and even screaming in the break of the night as you still go there you can hear screams and screams of a young girl that had died there her name was Elanda Rowe. The ghost of the great actress Helena Modjeska has also been seen here and is considered the resident ghost.	Calumet theatre	Michigan	MI	-88.45344229999999	47.24782339999999	-88.45400599999999	47.24659219999999	Calumet theatre	47.24782339999999	-88.45344229999999
Canton	United States	many legends about this rd. the bridge is said to be haunted by a woman who's child was killed by a car, she walks the bridge and you can hear the baby cry. dark figures chase your car and there is said to be a house on a side rd. that is haunted	Denton rd	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444	Denton rd	42.2853235	-83.52522599999999
Canton	United States	The story goes that a group of kids were playing chicken near Denton Road bridge, and one of them proved to be chicken. His car swerved off the road when they reached the bridge, and crashed into the river below. Many people claim to see a light come out of river and chase their vehicle to the end of the road, if they stop at the center of the bridge at night.- November 2003 Update: the road has been reconfigured in that area and that the bridge no longer exists. That is not to say that the hauntings no longer occur.	Denton Road Bridge	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444	Denton Road Bridge	42.2853235	-83.52522599999999
Canton	United States	Old Frank's Nursery & Crafts - Employees of this store were said to hear moaning after closing, along with merchandise falling off shelves. Other employees even said to be pushed by the spirit.	Ford Road	Michigan	MI	-83.4895295	42.3218667	-83.48211599999999	42.3086444	Ford Road Acres	39.48538	-77.43249
Canton	United States	Reports of whispers heard and cars being pushed.	Gyde Rd.	Michigan	MI	-83.5177329	42.3428997	-83.48211599999999	42.3086444	Gyde Rd.	42.3428997	-83.5177329
Cass City	United States	Back in the 1800's a young lady got in a horse and buggy accident. Her buggy wheel went off the bridge and flipped, she drown in 2 feet of water. On foggy summer night you can see her hand come up over the road and hear her please for help!	Crawford Rd. bridge	Michigan	MI	-83.1334217	43.5727986	-83.17466929999999	43.6008515	Crawford Rd. bridge	43.5727986	-83.1334217
Central Lake	United States	The Lamplights Inn has been a landmark in Central Lake since 1924. It was built in the very early 1900s. Beginning in the early '50s, the successive owners have had persistent reports of ghosts. A man and woman dressed in late '20s - early '30s garb have been seen many times over the years, not only by owners' families, but also by employees and customers alike. The descriptions are uncannily similar. A customer recently reported the man and woman ghosts dancing together in the bar area with a little girl ghost looking on. These ghosts also window peep (on the second floor). They certainly appear to be fun loving. Another story tells of the daughter of a former hotel manager, who was preparing to elope with her fiancée, and tripped on her gown while descending the ladder. She fell to her death and returns to walk the hallway upstairs in her wedding gown. And, it is a fact that Mrs. Gill who, with her husband, were the first managers of the hotel, returned and lived out her remaining years at the hotel. She died in the early '50s in one of the upstairs bedrooms. Many people have reported seeing her stand in the upstairs window looking onto the village. In 1979 Ted Strzempek bought the lamplight he said he was in the upstairs hallway painting when a women in a white dress ran by him and through all the boxes he had stacked by the wall she ran into a bedroom and he ran in after her only to find an empty room. The Murphy's now own the lamplight and if you ask them if the lamplight is haunted they will not deny it.	Murphy's Lamplight Inn	Michigan	MI	-85.264923	45.0720901	-85.2645105	45.0700047	Township of Central Lake	45.07808	-85.27884
Charlevoix	United States	This spot is said to be haunted by a ghost believed to be in his late teens to early 20's who died in the grinder of the old mill that used to stand on the site.	Weathervane Restaurant	Michigan	MI	-85.25928429999999	45.3192451	-85.2584004	45.3180632	The Weathervane	52.97087	-2.08809
Charlotte	United States	when you are in the bottom of the theatre you will feel a coldness breeze and people say that is Rick Eaton the theatre was named after him. he died in 1923 and the theatre was built in 1902. Rick was a nice guy and his poor wife killed herself on the bottom below the upstairs and she shot herself and the bottom was where Rick died. he was up on the little balcony in the bottom and he was painting and he fell off.	Eaton Theatre	Michigan	MI	-84.8354913	42.56126099999999	-84.83582109999999	42.5636478	Eaton Theatre	42.56126099999999	-84.8354913
Charlotte	United States	people say that in the Charlotte Jr. High the old ISS room use to be a freezer room. They say back in the 60's a older man that was a teacher threw a kid in the freezer room. He got frostbitten and dies! Now the kids there say when they get in trouble and go in the ISS room the little boy haunts them.	Old Charlotte Jr. High	Michigan	MI	-84.85648599999999	42.5556987	-84.83582109999999	42.5636478	Charlotte Amalie	18.3419	-64.9307
Cheboygan	United States	An old farmer went insane and killed his family and then himself. If you go out to the site at night you feel overwhelmed by fright. And never take a stone from the tomb you will be dealt with in a not so nice matter. 2 people drove over the tomb on purpose and there truck just died for no reason. There friends in a car behind them had the steering wheel jerked and they crashed into a tree.	Hikyes Tomb	Michigan	MI			-84.4744795	45.64695630000001			
Cheboygan	United States	January 2007 has been removed	Pellston	Michigan	MI	-84.7839364	45.552789	-84.4744795	45.64695630000001	Pellston	45.552789	-84.7839364
Cheboygan	United States	"Years ago there was a terrible train accident and when the train tipped over there was a man who was badly hurt and the wreck jogged his mind so much that he started to beat his skull against the stump of an old tree. In the process of doing so, he asked himself ""why am I hear""?. Well, he beat himself to death until his skull cracked wide open. At 1:00am in the morning you can still hear the ghost of the man saying why am I here as he beats his head on the stump."	Where the old Train Station used to be	Michigan	MI			-84.4744795	45.64695630000001			
Chelsea	United States	Reports that lockers slam when no ones there and in the girls bathroom you here the toilets flush and whispers heard and behind the stage you can feel an odd presents in there when your alone.	Beach Middle School	Michigan	MI	-84.0096366	42.3182386	-84.0205029	42.3180919	Beach Middle School	42.3182386	-84.0096366
Chelsea	United States	in the dark, you can feel an odd presence of someone else there with you. There have been reports of ghost sitings near the operation rooms.	Chelsea hospital	Michigan	MI	-84.0165056	42.3104227	-84.0205029	42.3180919	Chelsea hospital	42.3104227	-84.0165056
Chelsea	United States	The foundation of the house is still there. They say at night the house reappears. Also at the back of the house, there are slave house's and old barn which are said to be haunted.	Pink Palace	Michigan	MI			-84.0205029	42.3180919	The Pink Palace Beach Hotel	39.54913	19.8526
